instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-17087,resolved,under15min,5,8,0,9,4,1.0,1,2.0,0.25,2,2,8,3:think,3,0.11,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,2,1,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
astropy__astropy-8707,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-7490,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-10097,resolved,under15min,3,5,0,6,2,1.0,1,1.0,0.6,1,1,5,2:think,4,0.33,early,1,1.0,False,1,1.0,1,1.0,False,1,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14053,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-12907,unresolved,under1h,4,4,0,5,3,1.0,1,2.0,0.25,2,2,4,2:think,2,0.6,mixed,2,1.0,False,1,1.0,1,1.0,False,1,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15809,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8621,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-10844,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-10614,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15382,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13551,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11749,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
psf__requests-2317,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12585,unresolved,under15min,2,4,0,5,1,1.0,1,1.0,0.75,1,1,4,1:think,4,0.2,early,1,1.0,False,1,1.0,1,1.0,False,1,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15128,unresolved,under4h,4,6,0,6,3,1.0,1,1.0,0.5,1,1,6,3:think,4,0.29,early,2,1.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-17029,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15741,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-10051,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25931,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13670,unresolved,under1h,2,5,0,6,1,1.5,2,1.5,0.8,2,1,5,0:think,5,0.17,early,1,1.0,False,1,1.0,1,1.0,False,1,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-14711,unresolved,under15min,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pydata__xarray-7229,unresolved,under1h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16139,resolved,under15min,5,10,1,11,4,1.4,3,2.6666666666666665,0.5,5,1,11,0:think,6,0.18,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12304,unresolved,under15min,2,5,0,6,1,1.5,2,1.5,0.8,2,1,5,0:think,5,0.17,early,1,1.0,False,1,1.0,1,1.0,False,1,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14007,unresolved,under4h,1,3,0,4,0,1.0,1,1.0,1.0,1,1,3,0:think,4,0.0,none,0,0.0,False,0,0.0,0,0.0,False,0,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
